"phenotype","fdr_threshold","contrast","model","up","down"
"caa","0.05","cvda_4gp22","path","extracellular matrix organization, collagen fibril organization, semaphorin-plexin signaling pathway","cytoplasmic translation, translation, proteasome-mediated ubiquitin-dependent protein catabolic process, cell division, intracellular protein transport, protein ubiquitination, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, ubiquitin-dependent protein catabolic process, negative regulation of apoptotic process, ribosomal small subunit biogenesis, substantia nigra development, chaperone-mediated protein folding, G1/S transition of mitotic cell cycle, protein folding, protein polyubiquitination, regulation of translational initiation, mitochondrial translation, ribosomal large subunit biogenesis, membrane fission, protein neddylation, negative regulation of translation, protein deubiquitination, rhythmic process, protein K48-linked ubiquitination, positive regulation of telomere maintenance via telomerase, anterograde axonal transport, intra-Golgi vesicle-mediated transport, regulation of protein neddylation, activin receptor signaling pathway, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, protein transport, homeostasis of number of cells, protein import into nucleus, regulation of synaptic vesicle exocytosis, protein stabilization, binding of sperm to zona pellucida, vesicle-mediated transport"
"caa","0.05","cvda_4gp23","path","regulation of small GTPase mediated signal transduction, odontogenesis of dentin-containing tooth, collagen fibril organization, response to immobilization stress, intracellular signal transduction, monoatomic ion transmembrane transport, protein phosphorylation","cytoplasmic translation, translation, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, intracellular protein transport, mRNA splicing, via spliceosome"
"caa","0.10","cvda_4gp21","basic","extracellular matrix organization, collagen fibril organization, regulation of small GTPase mediated signal transduction, axon guidance, neural tube development, camera-type eye morphogenesis, myoblast fusion, regulation of actin cytoskeleton organization, regulation of neuronal synaptic plasticity, neuromuscular junction development, regulation of nucleotide-excision repair, spinal cord development, positive regulation of cholesterol efflux, establishment of epithelial cell polarity, protein autophosphorylation","cytoplasmic translation, translation, protein folding, translational initiation, endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, chaperone-mediated protein folding, ribosomal small subunit biogenesis, mRNA splicing, via spliceosome, negative regulation of apoptotic process, proton transmembrane transport, positive regulation of telomere maintenance via telomerase, protein K48-linked ubiquitination, mitochondrial translation, ribosomal large subunit biogenesis, protein stabilization, proton motive force-driven mitochondrial ATP synthesis, protein targeting to mitochondrion, chaperone-mediated protein complex assembly, RNA splicing, inner mitochondrial membrane organization, U2-type prespliceosome assembly, rRNA processing, regulation of macroautophagy, protein transport, nucleosome assembly, regulation of translational initiation, protein neddylation, mitochondrial electron transport, NADH to ubiquinone, intracellular iron ion homeostasis, substantia nigra development, autophagosome maturation, positive regulation of ATP-dependent activity, ubiquitin-dependent protein catabolic process, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion, intra-Golgi vesicle-mediated transport, mitochondrial respiratory chain complex I assembly, protein K63-linked deubiquitination, cell division, positive regulation of translation, keratinocyte differentiation, tricarboxylic acid cycle, Rab protein signal transduction, positive regulation of sodium ion transport, aerobic respiration, rhythmic process, proteasome-mediated ubiquitin-dependent protein catabolic process, synaptic vesicle priming, anterograde axonal transport, response to unfolded protein, translational elongation, G1/S transition of mitotic cell cycle, mitochondrial electron transport, cytochrome c to oxygen, regulation of proteasomal protein catabolic process, regulation of circadian rhythm, negative regulation of proteasomal ubiquitin-dependent protein catabolic process, mitotic spindle organization, apoptotic process, fatty acid beta-oxidation, synaptic transmission, GABAergic, binding of sperm to zona pellucida, proton motive force-driven ATP synthesis, cellular respiration, mRNA processing, protein targeting to ER, vesicle-mediated transport"
"caa","0.10","cvda_4gp22","basic","extracellular matrix organization, collagen fibril organization, positive regulation of cholesterol efflux, striated muscle contraction, miRNA-mediated post-transcriptional gene silencing, animal organ morphogenesis, negative regulation of growth, regulation of actin cytoskeleton organization, positive regulation of cell motility, calcium ion import across plasma membrane, positive regulation of axonogenesis","translation, cytoplasmic translation, intracellular protein transport, translational initiation, protein folding, proteasome-mediated ubiquitin-dependent protein catabolic process, chaperone-mediated protein folding, endoplasmic reticulum to Golgi vesicle-mediated transport, cell division, negative regulation of apoptotic process, mitochondrial translation, ribosomal small subunit biogenesis, ubiquitin-dependent protein catabolic process, ribosomal large subunit biogenesis, protein K48-linked ubiquitination, protein transport, positive regulation of telomere maintenance via telomerase, regulation of translational initiation, mitotic metaphase chromosome alignment, rRNA processing, protein stabilization, binding of sperm to zona pellucida, tricarboxylic acid cycle, nucleosome assembly, regulation of macroautophagy, G1/S transition of mitotic cell cycle, vesicle-mediated transport, protein targeting to mitochondrion, intra-Golgi vesicle-mediated transport, protein polyubiquitination, protein ubiquitination, positive regulation of protein ubiquitination, anterograde axonal transport, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, chromosome segregation, DNA damage checkpoint signaling, substantia nigra development, autophagosome maturation, intracellular iron ion homeostasis, mRNA splicing, via spliceosome, spindle organization, positive regulation of ATP-dependent activity, double-strand break repair, protein import into nucleus, inner mitochondrial membrane organization, synaptic vesicle priming, melanosome transport, membrane organization, protein K63-linked ubiquitination, negative regulation of phagocytosis, protein deubiquitination, U2-type prespliceosome assembly, fatty acid beta-oxidation, membrane fusion, mitotic cell cycle, proton transmembrane transport, protein neddylation, protein K63-linked deubiquitination, keratinocyte differentiation, plasma membrane repair, mitotic spindle assembly, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, proton motive force-driven mitochondrial ATP synthesis, phospholipid transport, mitotic spindle organization, positive regulation of protein serine/threonine kinase activity, protein K48-linked deubiquitination, apoptotic process, homeostasis of number of cells, T cell differentiation in thymus, activin receptor signaling pathway, defense response to virus, positive regulation of viral genome replication, positive regulation of translation, chaperone-mediated protein complex assembly, ERAD pathway, regulation of protein neddylation, protein K11-linked ubiquitination, mitochondrial electron transport, cytochrome c to oxygen, negative regulation of translation, protein localization to site of double-strand break, proteasomal protein catabolic process, regulation of synaptic vesicle exocytosis, membrane fission, erythrocyte development"
"caa","0.10","cvda_4gp23","basic","cell migration, angiogenesis, intracellular signal transduction, spinal cord development, lung development, regulation of small GTPase mediated signal transduction, inflammatory response, Rho protein signal transduction, skeletal muscle cell differentiation, actin cytoskeleton organization, negative regulation of cell population proliferation, protein phosphorylation, regulation of cell shape, cell differentiation, odontogenesis of dentin-containing tooth, response to immobilization stress, skeletal system development, interleukin-1-mediated signaling pathway, positive regulation of miRNA transcription, nuclear migration, cellular response to tumor necrosis factor, monocyte differentiation, extracellular matrix organization, heart morphogenesis, canonical NF-kappaB signal transduction, cellular response to hypoxia, positive regulation of JNK cascade, actin filament organization, collagen fibril organization, myoblast fusion, integrated stress response signaling, in utero embryonic development, negative regulation of DNA-templated transcription, intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress, circadian regulation of gene expression, regulation of tumor necrosis factor-mediated signaling pathway, phosphatidylinositol phosphate biosynthetic process, heart development, positive regulation of protein localization to nucleus, negative regulation of proteolysis, neural tube development, positive regulation of p38MAPK cascade, negative regulation of growth, execution phase of apoptosis, cellular response to interleukin-1, establishment of epithelial cell polarity, chondroitin sulfate biosynthetic process, positive regulation of angiogenesis, axon guidance, DNA methylation-dependent heterochromatin formation, negative regulation of epithelial to mesenchymal transition, semaphorin-plexin signaling pathway, vasculogenesis, symbiont entry into host cell, monoatomic ion transmembrane transport, regulation of cell population proliferation, positive regulation of gene expression, entrainment of circadian clock by photoperiod, positive regulation of cholesterol efflux, potassium ion import across plasma membrane, establishment or maintenance of epithelial cell apical/basal polarity, skin development, post-anal tail morphogenesis, regulation of actin cytoskeleton organization, associative learning, keratan sulfate biosynthetic process, positive regulation of cell migration","cytoplasmic translation, translation, translational initiation, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, cilium assembly, ribosomal large subunit biogenesis, mRNA splicing, via spliceosome, U2-type prespliceosome assembly, ventricular system development, mitochondrial translation, rRNA processing, positive regulation of lamellipodium assembly, cardiac muscle cell action potential involved in contraction, proton motive force-driven mitochondrial ATP synthesis, regulation of macroautophagy"
"caa","0.10","cvda_4gp21","lifestyle","collagen fibril organization, extracellular matrix organization, skin development","cytoplasmic translation, translation, translational initiation, intracellular protein transport, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, chaperone-mediated protein folding, protein folding, negative regulation of apoptotic process, mRNA splicing, via spliceosome, protein stabilization, inner mitochondrial membrane organization, ribosomal large subunit biogenesis, proton motive force-driven mitochondrial ATP synthesis, mitochondrial translation, proton transmembrane transport, ubiquitin-dependent protein catabolic process, rRNA processing, protein N-linked glycosylation via asparagine, positive regulation of translation, regulation of translational initiation, U2-type prespliceosome assembly, protein K48-linked ubiquitination, proteasome-mediated ubiquitin-dependent protein catabolic process, viral release from host cell, autophagosome maturation, anterograde axonal transport, regulation of macroautophagy, synaptic vesicle priming, nucleosome assembly, RNA splicing, aerobic respiration, protein targeting to mitochondrion, mitochondrial electron transport, NADH to ubiquinone, mitochondrial respiratory chain complex I assembly, response to endoplasmic reticulum stress, positive regulation of telomere maintenance via telomerase, protein neddylation, intracellular iron ion homeostasis, vesicle-mediated transport, substantia nigra development, cell division, mitotic metaphase chromosome alignment, stress granule assembly, mitotic spindle organization, protein transport, negative regulation of proteasomal ubiquitin-dependent protein catabolic process, translational elongation, synaptic transmission, GABAergic, regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion, chaperone-mediated protein complex assembly, cell redox homeostasis, regulation of circadian rhythm, protein N-linked glycosylation"
"caa","0.10","cvda_4gp22","lifestyle","extracellular matrix organization, collagen fibril organization, miRNA-mediated post-transcriptional gene silencing","cytoplasmic translation, translation, intracellular protein transport, mitochondrial translation, proteasome-mediated ubiquitin-dependent protein catabolic process, endoplasmic reticulum to Golgi vesicle-mediated transport, cell division, translational initiation, ribosomal small subunit biogenesis, protein folding, negative regulation of apoptotic process, ubiquitin-dependent protein catabolic process, chaperone-mediated protein folding, ribosomal large subunit biogenesis, binding of sperm to zona pellucida, regulation of translational initiation, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, intra-Golgi vesicle-mediated transport, protein polyubiquitination, protein transport, intracellular iron ion homeostasis, inner mitochondrial membrane organization, positive regulation of telomere maintenance via telomerase, anterograde axonal transport, proton motive force-driven mitochondrial ATP synthesis, protein K48-linked ubiquitination, plasma membrane repair, substantia nigra development, membrane fission, response to endoplasmic reticulum stress, protein ubiquitination, mitochondrial electron transport, NADH to ubiquinone, regulation of synaptic vesicle exocytosis, synaptic vesicle priming, autophagosome maturation, regulation of macroautophagy, positive regulation of protein ubiquitination, fatty acid beta-oxidation, protein neddylation, vesicle-mediated transport, membrane fusion, membrane organization, ERAD pathway, proton transmembrane transport, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, U2-type prespliceosome assembly, protein targeting to mitochondrion, regulation of protein neddylation, tricarboxylic acid cycle, cell redox homeostasis, protein stabilization, protein K63-linked deubiquitination, protein deubiquitination, G1/S transition of mitotic cell cycle, negative regulation of translation, autophagy, late endosome to lysosome transport, multivesicular body assembly, mitotic metaphase chromosome alignment, phosphatidylinositol-3-phosphate biosynthetic process, cerebellum development, keratinocyte differentiation, positive regulation of translation, double-strand break repair, transforming growth factor beta receptor signaling pathway, nucleosome assembly, translational elongation, response to unfolded protein, protein import into nucleus, stress granule assembly"
"caa","0.10","cvda_4gp23","lifestyle","regulation of small GTPase mediated signal transduction, protein phosphorylation, response to immobilization stress, odontogenesis of dentin-containing tooth, intracellular signal transduction, keratan sulfate biosynthetic process, lung development, monoatomic ion transmembrane transport, angiogenesis, collagen fibril organization, adenylate cyclase-activating adrenergic receptor signaling pathway, Rho protein signal transduction, cell migration, spinal cord development, inflammatory response, positive regulation of angiogenesis, post-anal tail morphogenesis, positive regulation of cell migration, cell differentiation, interleukin-1-mediated signaling pathway, negative regulation of extrinsic apoptotic signaling pathway via death domain receptors, regulation of tumor necrosis factor-mediated signaling pathway, skeletal muscle cell differentiation, extracellular matrix organization, cell-cell signaling, establishment of epithelial cell polarity, neural tube development, cellular response to tumor necrosis factor, associative learning, animal organ morphogenesis, vasculogenesis, regulation of cell shape, execution phase of apoptosis, neuropeptide signaling pathway, circadian regulation of gene expression","cytoplasmic translation, translation, endoplasmic reticulum to Golgi vesicle-mediated transport, translational initiation, ribosomal small subunit biogenesis, ribosomal large subunit biogenesis, mRNA splicing, via spliceosome, intracellular protein transport, regulation of macroautophagy, viral release from host cell, autophagosome maturation, positive regulation of lamellipodium assembly, substantia nigra development, rRNA processing, mitochondrial translation, regulatory ncRNA-mediated gene silencing, protein K48-linked ubiquitination, ventricular system development, U2-type prespliceosome assembly"
"caa","0.10","cvda_4gp21","AD","collagen fibril organization, skin development, extracellular matrix organization","cytoplasmic translation, translation, translational initiation, ribosomal small subunit biogenesis, endoplasmic reticulum to Golgi vesicle-mediated transport, intracellular protein transport, chaperone-mediated protein folding, negative regulation of apoptotic process, protein folding, mRNA splicing, via spliceosome, protein stabilization, inner mitochondrial membrane organization, ribosomal large subunit biogenesis, proton motive force-driven mitochondrial ATP synthesis, proton transmembrane transport, ubiquitin-dependent protein catabolic process, mitochondrial translation, nucleosome assembly, U2-type prespliceosome assembly, protein K48-linked ubiquitination, protein targeting to mitochondrion, proteasome-mediated ubiquitin-dependent protein catabolic process, protein N-linked glycosylation via asparagine, RNA splicing, cell division, regulation of translational initiation, viral release from host cell, synaptic vesicle priming, regulation of macroautophagy, rRNA processing, autophagosome maturation, protein neddylation, substantia nigra development, response to endoplasmic reticulum stress, positive regulation of translation, anterograde axonal transport, mitochondrial respiratory chain complex I assembly, mitochondrial electron transport, NADH to ubiquinone, aerobic respiration, synaptic transmission, GABAergic, intracellular iron ion homeostasis, mitotic spindle organization, positive regulation of telomere maintenance via telomerase, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, negative regulation of proteasomal ubiquitin-dependent protein catabolic process, vesicle-mediated transport, positive regulation of ATP-dependent activity, negative regulation of translation, protein transport, stress granule assembly, mitotic metaphase chromosome alignment, adult locomotory behavior, regulation of circadian rhythm, cell redox homeostasis, regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion, membrane fusion, protein polyubiquitination"
"caa","0.10","cvda_4gp22","AD","collagen fibril organization, extracellular matrix organization, miRNA-mediated post-transcriptional gene silencing","cytoplasmic translation, translation, intracellular protein transport, proteasome-mediated ubiquitin-dependent protein catabolic process, endoplasmic reticulum to Golgi vesicle-mediated transport, mitochondrial translation, protein folding, translational initiation, cell division, ribosomal small subunit biogenesis, chaperone-mediated protein folding, ubiquitin-dependent protein catabolic process, negative regulation of apoptotic process, regulation of translational initiation, ribosomal large subunit biogenesis, binding of sperm to zona pellucida, protein polyubiquitination, retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum, intra-Golgi vesicle-mediated transport, positive regulation of telomere maintenance via telomerase, protein transport, intracellular iron ion homeostasis, proton motive force-driven mitochondrial ATP synthesis, inner mitochondrial membrane organization, protein K48-linked ubiquitination, anterograde axonal transport, substantia nigra development, protein ubiquitination, response to endoplasmic reticulum stress, plasma membrane repair, synaptic vesicle priming, fatty acid beta-oxidation, regulation of synaptic vesicle exocytosis, protein targeting to mitochondrion, regulation of macroautophagy, vesicle-mediated transport, membrane fission, protein deubiquitination, proton transmembrane transport, U2-type prespliceosome assembly, mitochondrial electron transport, NADH to ubiquinone, positive regulation of protein ubiquitination, membrane organization, autophagosome maturation, regulation of protein neddylation, protein K63-linked deubiquitination, mitotic metaphase chromosome alignment, response to unfolded protein, mitochondrial respiratory chain complex I assembly, mRNA transport, positive regulation of translation, ERAD pathway, G1/S transition of mitotic cell cycle, negative regulation of translation, protein stabilization, membrane fusion, translational elongation, cell redox homeostasis, tail-anchored membrane protein insertion into ER membrane, activin receptor signaling pathway, phospholipid transport, protein neddylation, melanosome transport, cerebellum development, nucleosome assembly, SCF-dependent proteasomal ubiquitin-dependent protein catabolic process, transforming growth factor beta receptor signaling pathway, tricarboxylic acid cycle, multivesicular body assembly, protein N-linked glycosylation via asparagine, double-strand break repair"
